,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,WL
52,240,31,77,0.40299999999999997,11,34,0.324,14,18,0.778,2,38,40,22,5,3,18,21,87,-1
53,240,33,83,0.39799999999999996,4,27,0.14800000000000002,17,20,0.85,9,39,48,15,4,10,14,20,87,-1
54,240,28,95,0.295,12,34,0.353,19,24,0.792,14,27,41,18,4,10,11,21,87,-1
55,240,33,93,0.355,9,29,0.31,12,15,0.8,19,34,53,19,9,1,17,21,87,-1
56,240,31,84,0.369,9,43,0.209,16,22,0.727,6,42,48,20,6,9,16,19,87,-1
57,240,30,84,0.35700000000000004,10,31,0.32299999999999995,17,24,0.708,13,29,42,21,4,1,17,18,87,-1
58,240,32,79,0.405,8,32,0.25,15,19,0.789,4,33,37,24,7,2,15,19,87,-1
59,240,31,80,0.38799999999999996,12,29,0.414,13,16,0.813,10,39,49,20,8,3,20,20,87,-1
60,240,32,82,0.39,8,32,0.25,15,19,0.789,13,28,41,19,9,3,19,22,87,-1
61,240,33,91,0.363,12,33,0.364,9,14,0.643,10,35,45,20,5,3,12,23,87,-1
62,240,34,87,0.391,5,26,0.192,14,23,0.609,6,41,47,18,8,5,16,20,87,-1
63,240,33,93,0.355,7,29,0.24100000000000002,15,16,0.938,15,26,41,21,5,7,17,17,88,-1
64,240,31,96,0.32299999999999995,13,41,0.317,13,23,0.565,17,35,52,18,4,5,16,18,88,-1
65,240,31,87,0.35600000000000004,12,45,0.267,14,22,0.636,5,31,36,20,4,3,14,19,88,-1
66,240,31,88,0.35200000000000004,9,42,0.214,17,22,0.773,7,29,36,20,6,6,12,14,88,-1
67,240,36,94,0.38299999999999995,10,29,0.345,6,8,0.75,8,34,42,21,5,8,14,16,88,-1
68,240,35,75,0.467,3,17,0.17600000000000002,15,19,0.789,7,29,36,23,8,2,22,25,88,-1
69,240,30,71,0.423,9,30,0.3,19,26,0.731,10,33,43,21,8,4,24,19,88,-1
70,240,31,87,0.35600000000000004,6,27,0.222,20,29,0.69,11,27,38,16,8,4,14,18,88,-1
71,240,31,82,0.37799999999999995,11,28,0.39299999999999996,15,19,0.789,8,34,42,21,12,3,21,29,88,-1
72,240,34,91,0.374,9,36,0.25,11,12,0.917,16,28,44,25,7,6,22,22,88,-1
73,240,34,84,0.405,6,30,0.2,14,18,0.778,9,27,36,17,13,7,15,19,88,-1
74,240,30,81,0.37,8,33,0.242,20,25,0.8,11,31,42,19,8,2,19,17,88,-1
75,240,37,86,0.43,3,21,0.14300000000000002,11,14,0.7859999999999999,7,33,40,25,5,7,15,20,88,-1
76,240,34,81,0.42,8,31,0.258,12,17,0.706,10,28,38,25,10,4,19,17,88,-1
77,240,30,88,0.341,10,32,0.313,18,21,0.857,7,36,43,17,8,4,11,19,88,-1
78,240,33,79,0.418,4,24,0.16699999999999998,18,23,0.7829999999999999,8,34,42,19,7,9,16,28,88,-1
79,240,31,94,0.33,13,32,0.406,13,14,0.929,12,37,49,19,8,5,12,19,88,-1
80,240,33,81,0.40700000000000003,6,31,0.19399999999999998,16,24,0.667,10,30,40,22,12,7,13,21,88,-1
81,240,28,71,0.39399999999999996,6,23,0.261,26,27,0.963,4,33,37,15,13,4,19,18,88,-1
82,240,36,94,0.38299999999999995,6,31,0.19399999999999998,10,14,0.7140000000000001,12,32,44,18,8,7,18,16,88,-1
83,240,31,80,0.38799999999999996,11,41,0.268,16,24,0.667,11,35,46,21,6,5,20,25,89,-1
84,240,31,80,0.38799999999999996,11,33,0.33299999999999996,16,19,0.8420000000000001,4,28,32,20,10,9,13,16,89,-1
85,240,35,91,0.385,6,23,0.261,13,17,0.765,12,35,47,17,7,3,16,18,89,-1
86,240,32,88,0.364,13,43,0.302,12,17,0.706,11,37,48,22,12,6,14,25,89,-1
87,240,31,83,0.373,5,16,0.313,22,37,0.595,12,32,44,18,8,4,14,27,89,-1
88,240,33,94,0.35100000000000003,4,31,0.129,19,26,0.731,13,32,45,18,6,4,8,19,89,-1
89,240,33,91,0.363,10,38,0.263,13,16,0.813,8,42,50,23,6,2,19,11,89,-1
90,240,36,88,0.409,7,25,0.28,10,14,0.7140000000000001,11,33,44,18,2,5,12,21,89,-1
91,240,34,89,0.382,12,42,0.28600000000000003,9,13,0.6920000000000001,15,32,47,22,6,2,15,20,89,-1
92,240,33,84,0.39299999999999996,9,31,0.29,14,18,0.778,10,29,39,27,6,3,17,21,89,-1
93,240,33,80,0.413,7,20,0.35,16,18,0.889,7,37,44,16,7,2,18,16,89,-1
94,240,28,76,0.368,9,35,0.257,24,26,0.9229999999999999,6,31,37,21,8,1,22,18,89,-1
95,240,28,89,0.315,7,29,0.24100000000000002,26,28,0.929,11,31,42,17,13,4,10,19,89,-1
96,240,31,78,0.397,5,33,0.152,22,33,0.667,14,39,53,14,7,4,23,19,89,-1
97,240,34,76,0.447,8,28,0.28600000000000003,13,13,1.0,7,33,40,16,10,3,27,17,89,-1
98,240,34,87,0.391,8,27,0.29600000000000004,13,13,1.0,12,34,46,23,1,8,19,17,89,-1
99,240,31,87,0.35600000000000004,8,29,0.276,19,27,0.7040000000000001,5,36,41,20,15,6,18,24,89,-1
100,240,33,95,0.34700000000000003,8,41,0.195,15,19,0.789,12,25,37,22,12,4,9,11,89,-1
101,240,31,88,0.35200000000000004,5,28,0.179,22,30,0.733,13,41,54,13,4,15,19,21,89,-1
102,240,30,90,0.33299999999999996,9,41,0.22,20,29,0.69,15,34,49,11,10,5,8,24,89,-1
103,240,30,70,0.429,8,21,0.381,21,25,0.84,8,28,36,19,7,7,18,22,89,1
104,240,33,89,0.371,7,37,0.18899999999999997,16,20,0.8,6,41,47,16,4,3,11,24,89,-1
105,240,35,87,0.402,11,40,0.275,8,14,0.5710000000000001,10,25,35,16,12,5,17,23,89,-1
106,240,31,79,0.392,8,29,0.276,20,27,0.741,10,25,35,16,14,1,18,16,90,-1
107,240,37,104,0.35600000000000004,8,37,0.21600000000000003,8,14,0.5710000000000001,18,44,62,25,10,7,18,10,90,-1
108,240,30,85,0.353,8,32,0.25,22,25,0.88,7,21,28,24,8,4,11,11,90,-1
109,240,35,93,0.376,7,36,0.19399999999999998,13,20,0.65,12,45,57,18,6,5,11,18,90,-1
110,240,38,102,0.373,4,21,0.19,10,11,0.909,18,41,59,18,7,5,17,19,90,-1
111,240,38,92,0.413,7,28,0.25,7,10,0.7,15,29,44,26,9,3,15,9,90,-1
112,240,35,90,0.389,12,33,0.364,8,9,0.889,12,36,48,26,3,3,11,15,90,-1
113,240,29,90,0.322,7,40,0.175,25,33,0.758,21,30,51,15,7,2,7,15,90,-1
114,240,35,79,0.44299999999999995,16,36,0.444,4,9,0.444,5,25,30,23,3,2,13,13,90,-1
115,240,34,86,0.395,6,33,0.182,16,27,0.593,17,35,52,25,6,5,15,22,90,-1
116,240,32,78,0.41,6,26,0.231,20,28,0.7140000000000001,5,29,34,16,10,5,12,15,90,-1
117,240,34,80,0.425,10,29,0.345,12,15,0.8,10,32,42,21,7,3,26,13,90,-1
118,240,35,87,0.402,10,32,0.313,10,18,0.556,13,29,42,17,8,6,14,16,90,-1
119,240,33,75,0.44,5,17,0.294,19,26,0.731,9,41,50,23,5,6,10,21,90,1
120,240,34,89,0.382,12,31,0.387,10,17,0.588,11,22,33,19,5,3,13,18,90,-1
121,240,36,89,0.40399999999999997,8,33,0.242,10,13,0.769,9,38,47,20,3,7,16,18,90,-1
122,240,38,91,0.418,12,35,0.34299999999999997,2,5,0.4,16,31,47,19,7,11,16,19,90,-1
123,240,37,94,0.39399999999999996,11,31,0.355,5,5,1.0,12,32,44,26,8,2,19,23,90,-1
124,240,36,79,0.456,7,23,0.304,11,18,0.611,5,42,47,10,11,5,24,20,90,1
125,240,35,90,0.389,6,24,0.25,14,18,0.778,7,28,35,21,10,3,15,26,90,-1
126,240,37,91,0.40700000000000003,9,40,0.225,7,9,0.778,9,42,51,21,6,3,12,15,90,-1
127,240,34,92,0.37,10,41,0.244,13,15,0.867,18,37,55,20,3,7,9,18,91,-1
128,240,36,90,0.4,4,30,0.133,15,21,0.7140000000000001,8,28,36,22,6,2,10,22,91,-1
129,240,38,91,0.418,8,35,0.22899999999999998,7,10,0.7,8,42,50,20,8,3,18,29,91,-1
130,240,35,86,0.40700000000000003,7,31,0.226,14,15,0.9329999999999999,8,35,43,13,4,4,16,18,91,-1
131,240,35,95,0.368,3,26,0.115,18,23,0.7829999999999999,22,37,59,20,9,4,18,17,91,-1
132,240,38,90,0.42200000000000004,9,26,0.34600000000000003,6,11,0.545,17,34,51,19,10,7,18,16,91,1
133,240,33,91,0.363,10,38,0.263,15,19,0.789,10,31,41,19,8,4,12,24,91,-1
134,240,38,84,0.452,7,33,0.212,8,12,0.667,13,39,52,24,3,4,16,10,91,-1
135,240,37,87,0.425,7,34,0.20600000000000002,10,18,0.556,5,29,34,23,6,9,14,17,91,-1
136,240,32,82,0.39,11,21,0.524,16,17,0.941,7,32,39,14,6,1,13,21,91,-1
137,240,29,70,0.414,10,28,0.35700000000000004,23,32,0.7190000000000001,12,28,40,15,4,5,19,19,91,-1
138,240,37,93,0.39799999999999996,4,22,0.182,13,21,0.619,14,38,52,21,7,9,9,12,91,-1
139,240,34,71,0.479,10,18,0.556,13,20,0.65,1,32,33,18,10,4,18,23,91,-1
140,240,34,88,0.386,8,36,0.222,15,17,0.882,14,29,43,13,5,5,23,26,91,-1
141,240,32,74,0.43200000000000005,11,39,0.282,16,19,0.8420000000000001,7,27,34,24,9,6,20,27,91,-1
142,240,32,92,0.348,6,29,0.207,21,22,0.955,11,30,41,14,11,5,15,21,91,-1
143,240,30,86,0.349,11,30,0.36700000000000005,20,28,0.7140000000000001,14,34,48,11,12,5,20,20,91,-1
144,240,34,84,0.405,8,30,0.267,15,19,0.789,11,38,49,24,5,4,14,11,91,-1
145,240,35,93,0.376,14,36,0.389,7,10,0.7,13,38,51,21,10,5,18,16,91,-1
146,240,34,83,0.41,5,18,0.278,18,19,0.9470000000000001,13,22,35,18,11,4,14,22,91,-1
147,240,33,101,0.327,10,43,0.233,15,17,0.882,11,30,41,21,9,6,11,22,91,-1
148,240,36,92,0.391,8,26,0.308,11,16,0.688,12,33,45,18,6,6,15,24,91,-1
149,240,29,77,0.377,11,39,0.282,22,35,0.629,10,30,40,20,6,4,19,26,91,-1
150,240,31,77,0.40299999999999997,9,38,0.237,21,25,0.84,8,34,42,20,10,7,20,16,92,-1
151,240,31,85,0.365,6,26,0.231,24,32,0.75,14,40,54,16,3,5,17,22,92,-1
152,240,36,102,0.353,11,42,0.262,9,13,0.6920000000000001,17,39,56,19,5,2,6,21,92,-1
153,240,31,76,0.408,7,23,0.304,23,28,0.821,9,27,36,12,8,3,22,18,92,-1
154,240,28,85,0.32899999999999996,8,35,0.22899999999999998,28,32,0.875,7,29,36,16,8,4,14,18,92,-1
155,240,37,86,0.43,10,25,0.4,8,14,0.5710000000000001,10,33,43,20,5,8,19,14,92,-1
156,240,40,86,0.465,5,28,0.179,7,10,0.7,8,33,41,20,5,4,17,20,92,-1
157,240,37,85,0.435,6,17,0.353,12,19,0.632,9,27,36,23,14,6,21,19,92,-1
158,240,36,90,0.4,9,33,0.273,11,15,0.733,13,31,44,17,5,4,11,23,92,-1
159,240,35,80,0.43799999999999994,9,29,0.31,13,17,0.765,9,31,40,23,8,3,14,22,92,-1
160,240,37,93,0.39799999999999996,7,27,0.259,11,13,0.846,8,31,39,16,9,4,16,20,92,-1
161,240,34,85,0.4,7,23,0.304,17,26,0.654,8,38,46,19,6,6,10,15,92,-1
162,240,35,78,0.449,9,32,0.281,13,19,0.684,9,33,42,26,5,7,20,22,92,-1
163,240,34,75,0.45299999999999996,13,31,0.419,11,13,0.846,2,20,22,23,8,3,13,16,92,-1
164,240,34,85,0.4,9,30,0.3,15,18,0.833,8,32,40,22,7,6,13,18,92,-1
165,240,38,84,0.452,7,23,0.304,9,14,0.643,7,24,31,11,5,2,12,20,92,-1
166,240,33,78,0.423,9,27,0.33299999999999996,17,19,0.895,11,25,36,22,12,10,14,21,92,-1
167,240,38,91,0.418,6,31,0.19399999999999998,10,13,0.769,12,39,51,19,7,5,12,16,92,1
168,240,34,82,0.415,8,24,0.33299999999999996,16,24,0.667,9,42,51,19,9,10,13,22,92,1
169,240,36,96,0.375,10,30,0.33299999999999996,10,15,0.667,8,38,46,24,5,2,9,15,92,-1
170,240,35,95,0.368,9,38,0.237,13,19,0.684,12,39,51,19,6,1,20,26,92,-1
171,240,36,100,0.36,7,32,0.21899999999999997,13,20,0.65,18,34,52,18,5,6,14,24,92,-1
172,240,35,86,0.40700000000000003,5,26,0.192,17,21,0.81,10,36,46,20,6,4,12,17,92,-1
173,240,35,94,0.37200000000000005,8,37,0.21600000000000003,14,21,0.667,10,37,47,20,10,3,15,18,92,-1
174,240,36,94,0.38299999999999995,10,37,0.27,10,13,0.769,13,36,49,18,7,6,15,25,92,-1
175,240,31,84,0.369,9,28,0.321,21,26,0.8079999999999999,7,36,43,18,10,2,11,22,92,1
176,240,34,95,0.358,7,33,0.212,17,23,0.7390000000000001,15,37,52,18,5,4,13,29,92,-1
177,240,33,69,0.478,10,24,0.41700000000000004,17,21,0.81,7,36,43,19,4,6,22,24,93,-1
178,240,34,90,0.37799999999999995,9,32,0.281,16,21,0.762,8,37,45,20,3,5,7,15,93,-1
179,240,34,86,0.395,13,33,0.39399999999999996,12,19,0.632,15,40,55,25,6,7,12,21,93,1
180,240,31,75,0.413,9,32,0.281,22,27,0.815,10,41,51,24,6,9,17,20,93,-1
181,240,39,88,0.44299999999999995,6,26,0.231,9,11,0.818,8,33,41,23,5,4,11,17,93,-1
182,240,27,79,0.342,13,34,0.382,26,32,0.813,9,24,33,15,7,1,12,19,93,-1
183,240,36,100,0.36,15,38,0.395,6,7,0.857,8,33,41,19,6,3,6,14,93,-1
184,240,36,89,0.40399999999999997,9,37,0.243,12,17,0.706,8,39,47,17,9,9,14,17,93,-1
185,240,33,86,0.384,9,33,0.273,18,23,0.7829999999999999,15,37,52,21,5,5,11,24,93,1
186,240,31,86,0.36,11,42,0.262,20,26,0.769,6,32,38,14,9,6,12,25,93,-1
187,240,39,77,0.506,10,29,0.345,5,19,0.263,7,38,45,25,3,6,19,20,93,-1
188,240,38,82,0.46299999999999997,7,20,0.35,10,12,0.833,3,33,36,21,4,6,12,15,93,-1
189,240,34,88,0.386,10,31,0.32299999999999995,15,22,0.682,13,37,50,25,7,6,17,19,93,-1
190,240,33,83,0.39799999999999996,13,33,0.39399999999999996,14,20,0.7,7,34,41,17,6,4,12,20,93,-1
191,240,34,88,0.386,11,44,0.25,14,19,0.737,11,38,49,16,9,2,14,13,93,-1
192,240,40,91,0.44,6,19,0.316,7,10,0.7,9,30,39,21,7,5,9,22,93,-1
193,240,36,79,0.456,7,25,0.28,14,18,0.778,2,39,41,24,6,4,16,23,93,-1
194,240,32,73,0.43799999999999994,7,21,0.33299999999999996,22,26,0.846,7,34,41,18,3,5,15,18,93,-1
195,240,39,82,0.47600000000000003,6,26,0.231,9,13,0.6920000000000001,5,35,40,28,5,11,19,18,93,-1
196,240,39,87,0.44799999999999995,9,34,0.265,6,8,0.75,6,37,43,23,7,5,16,19,93,1
197,240,32,92,0.348,9,42,0.214,20,27,0.741,15,28,43,20,7,5,19,22,93,-1
198,240,37,90,0.41100000000000003,6,19,0.316,13,20,0.65,7,28,35,19,8,5,9,20,93,-1
199,240,38,93,0.409,10,35,0.28600000000000003,7,10,0.7,8,41,49,28,6,2,9,15,93,1
200,240,36,99,0.364,16,52,0.308,6,7,0.857,8,38,46,17,7,5,13,15,94,-1
201,240,32,88,0.364,16,52,0.308,14,22,0.636,13,28,41,18,6,4,13,20,94,1
202,240,35,94,0.37200000000000005,10,35,0.28600000000000003,14,21,0.667,13,45,58,16,3,5,10,20,94,-1
203,240,35,75,0.467,4,21,0.19,20,26,0.769,3,31,34,25,5,3,19,14,94,-1
204,240,33,102,0.324,5,42,0.11900000000000001,23,28,0.821,16,40,56,23,5,9,13,21,94,-1
